time,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl,usr,sys,idl,wai,stl
24-09 23:09:00,1,1,99,0,0,0,0,99,0,0,0,0,99,0,0,0,0,99,0,0,0,0,99,0,0
24-09 23:09:01,1,0,99,0,0,0,0,100,0,0,1,0,99,0,0,0,0,100,0,0,0,0,99,0,0
24-09 23:09:02,2,0,98,0,0,0,0,100,0,0,1,1,98,0,0,0,1,99,0,0,1,1,98,0,0
24-09 23:09:03,3,1,96,0,0,0,1,99,0,0,0,1,99,0,0,0,1,99,0,0,1,0,99,0,0
24-09 23:09:04,0,0,100,0,0,1,1,98,0,0,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0
24-09 23:09:05,0,0,100,0,0,0,0,99,1,0,1,2,97,0,0,0,0,100,0,0,0,0,99,0,0
24-09 23:09:06,0,1,99,0,0,1,1,98,0,0,0,2,98,0,0,1,0,99,0,0,0,1,99,0,0
24-09 23:09:07,2,1,97,0,0,2,0,98,0,0,0,1,99,0,0,0,0,100,0,0,1,0,99,0,0
24-09 23:09:08,2,0,98,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,0,1,99,0,0
24-09 23:09:09,0,1,99,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,0,0,100,0,0
24-09 23:09:10,1,0,99,0,0,0,0,100,0,0,1,1,98,0,0,0,0,100,0,0,1,1,99,0,0
24-09 23:09:11,0,2,98,0,0,1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0
24-09 23:09:12,3,1,96,0,0,1,0,99,0,0,1,1,98,0,0,0,0,100,0,0,1,1,99,0,0
24-09 23:09:13,0,1,99,0,0,0,1,99,0,0,0,0,100,0,0,0,2,98,0,0,0,1,99,0,0
24-09 23:09:14,1,1,98,0,0,3,1,96,0,0,0,2,98,0,0,0,0,100,0,0,1,1,98,0,0
24-09 23:09:15,1,0,99,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
24-09 23:09:16,0,1,99,0,0,0,1,99,0,0,0,0,100,0,0,2,3,95,0,0,0,1,99,0,0
24-09 23:09:17,4,0,96,0,0,0,0,100,0,0,2,0,98,0,0,0,0,100,0,0,1,0,99,0,0
24-09 23:09:18,3,0,97,0,0,1,2,97,0,0,2,0,98,0,0,6,2,92,0,0,2,1,97,0,0
24-09 23:09:19,0,0,100,0,0,0,0,100,0,0,1,2,97,0,0,2,0,98,0,0,0,0,99,0,0
24-09 23:09:20,2,0,98,0,0,1,0,99,0,0,0,1,99,0,0,2,1,97,0,0,1,0,99,0,0
24-09 23:09:21,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
24-09 23:09:22,0,0,100,0,0,1,2,97,0,0,0,2,98,0,0,0,0,100,0,0,0,1,99,0,0
24-09 23:09:23,1,0,99,0,0,0,1,99,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
24-09 23:09:24,0,0,100,0,0,1,2,97,0,0,0,2,98,0,0,0,0,100,0,0,1,1,98,0,0
24-09 23:09:25,1,0,99,0,0,0,0,99,1,0,0,1,99,0,0,0,0,100,0,0,0,0,99,0,0
24-09 23:09:26,0,1,99,0,0,1,0,99,0,0,0,0,100,0,0,2,2,96,0,0,1,1,99,0,0
24-09 23:09:27,2,1,97,0,0,0,0,100,0,0,1,0,99,0,0,0,1,99,0,0,1,0,99,0,0
24-09 23:09:28,1,1,98,0,0,1,0,99,0,0,1,0,99,0,0,2,0,98,0,0,1,0,99,0,0
24-09 23:09:29,0,1,99,0,0,0,0,100,0,0,0,0,100,0,0,1,2,97,0,0,0,1,99,0,0
24-09 23:09:30,3,0,97,0,0,0,1,99,0,0,0,1,99,0,0,2,0,98,0,0,1,1,99,0,0
24-09 23:09:31,0,2,98,0,0,4,2,94,0,0,1,1,98,0,0,2,1,97,0,0,1,1,98,0,0
24-09 23:09:32,0,0,100,0,0,0,0,100,0,0,0,1,99,0,0,0,0,100,0,0,0,0,99,0,0
