Time,Device,r/s,rMB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wMB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dMB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
2023-09-30 12:24:52,sdc,6.14,0.18,11.52,65.23,7.67,30.59,1.29,0.01,1.87,59.17,18.41,9.88,0.22,0.00,0.00,0.00,0.27,4.78,0.07,1.89
2023-09-30 12:24:53,sdc,5.00,0.14,30.00,85.71,1.00,28.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.00
2023-09-30 12:24:54,sdc,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.05,11.00,84.62,1.50,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.00
2023-09-30 12:24:55,sdc,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
2023-09-30 12:24:56,sdc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-30 12:24:57,sdc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-30 12:24:58,sdc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-30 12:24:59,sdc,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.02,3.00,60.00,1.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,1.00
2023-09-30 12:25:00,sdc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-30 12:25:01,sdc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
