Time,Device,r/s,rMB/s,rrqm/s,%rrqm,r_await,rareq-sz,w/s,wMB/s,wrqm/s,%wrqm,w_await,wareq-sz,d/s,dMB/s,drqm/s,%drqm,d_await,dareq-sz,aqu-sz,%util
2023-09-29 23:17:08,loop0,0.13,0.01,0.00,0.00,1.91,92.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
2023-09-29 23:17:08,loop1,0.19,0.01,0.00,0.00,2.10,74.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
2023-09-29 23:17:08,loop2,0.93,0.07,0.00,0.00,1.67,72.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
2023-09-29 23:17:08,sda,0.18,0.01,0.18,50.74,9.75,54.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
2023-09-29 23:17:08,sdb,0.01,0.00,0.00,0.00,1.35,25.23,0.00,0.00,0.00,0.00,56.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-29 23:17:08,sdc,2.41,0.05,4.08,62.90,9.83,22.78,0.80,0.05,2.16,73.06,32.23,64.65,0.03,0.00,0.00,0.00,0.64,14.67,0.05,0.63
2023-09-29 23:17:08,sdd,0.10,0.01,0.00,4.54,4.69,60.97,0.01,0.00,0.01,46.31,4.70,7.05,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.04
2023-09-29 23:17:08,sde,2.98,0.12,0.88,22.77,2.49,40.79,0.31,0.00,0.31,50.41,6.17,7.61,0.05,0.00,0.00,0.00,0.32,6.14,0.01,0.32
2023-09-29 23:17:09,loop0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-29 23:17:09,loop1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-29 23:17:09,loop2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
