Time,Iface,MTU,RX-OK,RX-ERR,RX-DRP,RX-OVR,TX-OK,TX-ERR,TX-DRP,TX-OVR,Flg
2023-09-30 12:27:29,lo,65536,22922,0,0,0,22922,0,0,0,LRU
2023-09-30 12:27:30,lo,65536,22989,0,0,0,22989,0,0,0,LRU
2023-09-30 12:27:31,lo,65536,22993,0,0,0,22993,0,0,0,LRU
2023-09-30 12:27:32,lo,65536,23060,0,0,0,23060,0,0,0,LRU
2023-09-30 12:27:33,lo,65536,23078,0,0,0,23078,0,0,0,LRU
2023-09-30 12:27:34,lo,65536,23133,0,0,0,23133,0,0,0,LRU
2023-09-30 12:27:35,lo,65536,23142,0,0,0,23142,0,0,0,LRU
2023-09-30 12:27:36,lo,65536,23163,0,0,0,23163,0,0,0,LRU
2023-09-30 12:27:37,lo,65536,23203,0,0,0,23203,0,0,0,LRU
2023-09-30 12:27:38,lo,65536,23219,0,0,0,23219,0,0,0,LRU
2023-09-30 12:27:39,lo,65536,23219,0,0,0,23219,0,0,0,LRU
2023-09-30 12:27:40,lo,65536,23223,0,0,0,23223,0,0,0,LRU
2023-09-30 12:27:41,lo,65536,23227,0,0,0,23227,0,0,0,LRU
2023-09-30 12:27:42,lo,65536,23227,0,0,0,23227,0,0,0,LRU
2023-09-30 12:27:43,lo,65536,23256,0,0,0,23256,0,0,0,LRU
2023-09-30 12:27:44,lo,65536,23286,0,0,0,23286,0,0,0,LRU
