Iface,MTU,RX-OK,RX-ERR,RX-DRP,RX-OVR,TX-OK,TX-ERR,TX-DRP,TX-OVR,Flg
2023-09-29 22:11:27,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:28,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:29,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:30,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:31,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:32,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:33,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:34,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:35,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:36,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:37,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:38,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:39,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:40,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:41,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:42,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:43,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:44,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:45,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:46,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:47,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:48,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:49,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:50,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:51,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:52,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:53,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:54,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:55,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:56,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:57,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:58,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:11:59,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:12:00,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:12:01,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:12:02,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
2023-09-29 22:12:03,eth0,1500,93096,0,0,0,27692,0,0,0,BMRU
