Iface,MTU,RX-OK,RX-ERR,RX-DRP,RX-OVR,TX-OK,TX-ERR,TX-DRP,TX-OVR,Flg
2023-09-29 22:11:27,lo,65536,21480,0,0,0,21480,0,0,0,LRU
2023-09-29 22:11:28,lo,65536,21513,0,0,0,21513,0,0,0,LRU
2023-09-29 22:11:29,lo,65536,21537,0,0,0,21537,0,0,0,LRU
2023-09-29 22:11:30,lo,65536,21537,0,0,0,21537,0,0,0,LRU
2023-09-29 22:11:31,lo,65536,21547,0,0,0,21547,0,0,0,LRU
2023-09-29 22:11:32,lo,65536,21547,0,0,0,21547,0,0,0,LRU
2023-09-29 22:11:33,lo,65536,21557,0,0,0,21557,0,0,0,LRU
2023-09-29 22:11:34,lo,65536,21557,0,0,0,21557,0,0,0,LRU
2023-09-29 22:11:35,lo,65536,21560,0,0,0,21560,0,0,0,LRU
2023-09-29 22:11:36,lo,65536,21562,0,0,0,21562,0,0,0,LRU
2023-09-29 22:11:37,lo,65536,21565,0,0,0,21565,0,0,0,LRU
2023-09-29 22:11:38,lo,65536,21571,0,0,0,21571,0,0,0,LRU
2023-09-29 22:11:39,lo,65536,21575,0,0,0,21575,0,0,0,LRU
2023-09-29 22:11:40,lo,65536,21575,0,0,0,21575,0,0,0,LRU
2023-09-29 22:11:41,lo,65536,21583,0,0,0,21583,0,0,0,LRU
2023-09-29 22:11:42,lo,65536,21643,0,0,0,21643,0,0,0,LRU
2023-09-29 22:11:43,lo,65536,21667,0,0,0,21667,0,0,0,LRU
2023-09-29 22:11:44,lo,65536,21699,0,0,0,21699,0,0,0,LRU
2023-09-29 22:11:45,lo,65536,21723,0,0,0,21723,0,0,0,LRU
2023-09-29 22:11:46,lo,65536,21725,0,0,0,21725,0,0,0,LRU
2023-09-29 22:11:47,lo,65536,21729,0,0,0,21729,0,0,0,LRU
2023-09-29 22:11:48,lo,65536,21735,0,0,0,21735,0,0,0,LRU
2023-09-29 22:11:49,lo,65536,21735,0,0,0,21735,0,0,0,LRU
2023-09-29 22:11:50,lo,65536,21739,0,0,0,21739,0,0,0,LRU
2023-09-29 22:11:51,lo,65536,21741,0,0,0,21741,0,0,0,LRU
2023-09-29 22:11:52,lo,65536,21743,0,0,0,21743,0,0,0,LRU
2023-09-29 22:11:53,lo,65536,21749,0,0,0,21749,0,0,0,LRU
2023-09-29 22:11:54,lo,65536,21749,0,0,0,21749,0,0,0,LRU
2023-09-29 22:11:55,lo,65536,21780,0,0,0,21780,0,0,0,LRU
2023-09-29 22:11:56,lo,65536,21849,0,0,0,21849,0,0,0,LRU
2023-09-29 22:11:57,lo,65536,21889,0,0,0,21889,0,0,0,LRU
2023-09-29 22:11:58,lo,65536,21899,0,0,0,21899,0,0,0,LRU
2023-09-29 22:11:59,lo,65536,21932,0,0,0,21932,0,0,0,LRU
2023-09-29 22:12:00,lo,65536,21943,0,0,0,21943,0,0,0,LRU
2023-09-29 22:12:01,lo,65536,21971,0,0,0,21971,0,0,0,LRU
2023-09-29 22:12:02,lo,65536,22010,0,0,0,22010,0,0,0,LRU
2023-09-29 22:12:03,lo,65536,22039,0,0,0,22039,0,0,0,LRU
