r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,JST
2,0,0,4876516,108612,1486188,0,0,14,1,36,188,0,0,99,0,0,2023-09-27 23:07:57
0,0,0,4877076,108612,1486192,0,0,0,0,131,1044,0,0,100,0,0,2023-09-27 23:07:58
0,0,0,4873136,108612,1486224,0,0,0,0,614,2007,1,1,99,0,0,2023-09-27 23:07:59
0,0,0,4873192,108628,1486224,0,0,0,96,177,1232,1,0,99,0,0,2023-09-27 23:08:00
0,0,0,4875532,108628,1486228,0,0,0,0,1208,4086,0,1,98,0,0,2023-09-27 23:08:01
0,0,0,4875880,108628,1486228,0,0,0,0,312,1870,1,0,99,0,0,2023-09-27 23:08:02
0,0,0,4876144,108628,1486228,0,0,0,0,584,2157,1,1,99,0,0,2023-09-27 23:08:03
0,0,0,4871132,108628,1486228,0,0,0,0,233,1159,0,1,98,0,0,2023-09-27 23:08:04
0,0,0,4869332,108636,1486232,0,0,0,20,703,2327,1,1,98,0,0,2023-09-27 23:08:05
0,0,0,4869332,108636,1486232,0,0,0,0,88,1036,0,0,100,0,0,2023-09-27 23:08:06
0,0,0,4869276,108636,1486232,0,0,0,0,563,2002,0,1,99,0,0,2023-09-27 23:08:07
0,0,0,4869332,108636,1486232,0,0,0,0,153,1078,0,0,99,0,0,2023-09-27 23:08:08
0,0,0,4869788,108636,1486232,0,0,0,0,589,1966,1,0,98,0,0,2023-09-27 23:08:09
