r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,JST
3,0,0,4908128,107076,1484412,0,0,25,1,29,174,0,0,99,0,0,2023-09-27,21:40:16
1,0,0,4908488,107076,1484432,0,0,0,0,1234,3994,1,2,97,0,0,2023-09-27,21:40:17
0,0,0,4906472,107076,1484432,0,0,0,0,196,1409,0,0,99,0,0,2023-09-27,21:40:18
0,0,0,4910788,107076,1484432,0,0,0,36,563,2092,1,1,99,0,0,2023-09-27,21:40:19
0,0,0,4910676,107076,1484432,0,0,0,0,47,807,0,0,100,0,0,2023-09-27,21:40:20
0,0,0,4909252,107076,1484416,0,0,0,0,696,2267,1,1,98,0,0,2023-09-27,21:40:21
0,0,0,4907048,107076,1484416,0,0,0,0,164,1219,0,1,99,0,0,2023-09-27,21:40:22
0,0,0,4905232,107076,1484416,0,0,0,24,518,1813,1,1,99,0,0,2023-09-27,21:40:23
0,0,0,4905288,107076,1484416,0,0,0,20,101,960,0,0,100,0,0,2023-09-27,21:40:24
0,0,0,4905888,107076,1484416,0,0,0,0,588,2148,1,1,98,0,0,2023-09-27,21:40:25
